Date,Time (GMT),,File name,File URL,,Owner,Gun Shot (Y/N),"Type of Sound (Gunshot, Unclear, etc.)"
6/29/2022,0:59:58,88244,Sample-1 (Tue Jun 28 17:59:55 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-1 (Tue Jun 28 17:59:55 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/,Nilo,Y,Gunshot
6/29/2022,15:30:09,88244,Sample-1 (Wed Jun 29 08:30:07 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-1 (Wed Jun 29 08:30:07 2022).wav,,Nilo,N,Rain
6/29/2022,15:34:39,88244,Sample-2 (Wed Jun 29 08:34:37 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-2 (Wed Jun 29 08:34:37 2022).wav,,Nilo,N,Muffled sound
6/29/2022,15:50:33,88244,Sample-3 (Wed Jun 29 08:50:31 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-3 (Wed Jun 29 08:50:31 2022).wav,,Nilo,N,Muffled sound
6/29/2022,17:03:12,88244,Sample-3 (Wed Jun 29 10:03:10 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-3 (Wed Jun 29 10:03:10 2022).wav,,Nilo,N,Static/none
6/29/2022,18:03:47,88244,Sample-1 (Wed Jun 29 11:03:45 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-1 (Wed Jun 29 11:03:45 2022).wav,,Nilo,N,Rain
6/29/2022,18:55:39,88244,Sample-1 (Wed Jun 29 11:55:35 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-1 (Wed Jun 29 11:55:35 2022).wav,,Nilo,Y,Gunshot
6/29/2022,19:07:52,88244,Sample-1 (Wed Jun 29 12:07:49 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-1 (Wed Jun 29 12:07:49 2022).wav,,Nilo,N,Mechanical noise
6/29/2022,19:30:09,88244,Sample-6 (Wed Jun 29 12:30:06 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-6 (Wed Jun 29 12:30:06 2022).wav,,Nilo,N,Rain
6/29/2022,19:47:15,88244,Sample-1 (Wed Jun 29 12:47:12 2022).wav,https://phoenix-pd-gunshot-wav-files.s3.us-west-2.amazonaws.com/Sample-1 (Wed Jun 29 12:47:12 2022).wav,,Nilo,N,Rain
